district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,0,first,,,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",27039
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,0,first,,,HAMILTON Ross,Sustainable Australia (NSW),3335
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,0,first,,,MCNAIR Reuben,Keep Sydney Open Party,1007
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,0,first,,,MOSS Dean,The Greens NSW,4411
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,0,first,,,MUIRHEAD Lauriston,Country Labor Party,11840
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,1,progressive,MCNAIR Reuben,Keep Sydney Open Party,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",27133
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,1,progressive,MCNAIR Reuben,Keep Sydney Open Party,HAMILTON Ross,Sustainable Australia (NSW),3588
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,1,progressive,MCNAIR Reuben,Keep Sydney Open Party,MOSS Dean,The Greens NSW,4461
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,1,progressive,MCNAIR Reuben,Keep Sydney Open Party,MUIRHEAD Lauriston,Country Labor Party,11922
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,1,transfer,MCNAIR Reuben,Keep Sydney Open Party,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",94
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,1,transfer,MCNAIR Reuben,Keep Sydney Open Party,HAMILTON Ross,Sustainable Australia (NSW),253
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,1,transfer,MCNAIR Reuben,Keep Sydney Open Party,MOSS Dean,The Greens NSW,50
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,1,transfer,MCNAIR Reuben,Keep Sydney Open Party,MUIRHEAD Lauriston,Country Labor Party,82
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,2,progressive,HAMILTON Ross,Sustainable Australia (NSW),CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",27715
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,2,progressive,HAMILTON Ross,Sustainable Australia (NSW),MOSS Dean,The Greens NSW,4833
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,2,progressive,HAMILTON Ross,Sustainable Australia (NSW),MUIRHEAD Lauriston,Country Labor Party,12438
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,2,transfer,HAMILTON Ross,Sustainable Australia (NSW),CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",582
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,2,transfer,HAMILTON Ross,Sustainable Australia (NSW),MOSS Dean,The Greens NSW,372
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,2,transfer,HAMILTON Ross,Sustainable Australia (NSW),MUIRHEAD Lauriston,Country Labor Party,516
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,3,final,MOSS Dean,The Greens NSW,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",28258
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,3,final,MOSS Dean,The Greens NSW,MUIRHEAD Lauriston,Country Labor Party,14572
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,3,transfer,MOSS Dean,The Greens NSW,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",543
Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",57605,47632,2393,50025,86.84,23817,3,transfer,MOSS Dean,The Greens NSW,MUIRHEAD Lauriston,Country Labor Party,2134
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,0,first,,,AHERN Luke,Independent,1635
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,0,first,,,CASTLE Janet,The Greens NSW,3357
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,0,first,,,KANG Kyoung Hee (Christina),"The Liberal Party of Australia, New South Wales Division",16094
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,0,first,,,LEE Kieron,Keep Sydney Open Party,1360
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,0,first,,,VOLTZ Lynda,Australian Labor Party (NSW Branch),22396
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,1,progressive,LEE Kieron,Keep Sydney Open Party,AHERN Luke,Independent,1780
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,1,progressive,LEE Kieron,Keep Sydney Open Party,CASTLE Janet,The Greens NSW,3549
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,1,progressive,LEE Kieron,Keep Sydney Open Party,KANG Kyoung Hee (Christina),"The Liberal Party of Australia, New South Wales Division",16240
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,1,progressive,LEE Kieron,Keep Sydney Open Party,VOLTZ Lynda,Australian Labor Party (NSW Branch),22561
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,1,transfer,LEE Kieron,Keep Sydney Open Party,AHERN Luke,Independent,145
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,1,transfer,LEE Kieron,Keep Sydney Open Party,CASTLE Janet,The Greens NSW,192
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,1,transfer,LEE Kieron,Keep Sydney Open Party,KANG Kyoung Hee (Christina),"The Liberal Party of Australia, New South Wales Division",146
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,1,transfer,LEE Kieron,Keep Sydney Open Party,VOLTZ Lynda,Australian Labor Party (NSW Branch),165
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,2,progressive,AHERN Luke,Independent,CASTLE Janet,The Greens NSW,3753
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,2,progressive,AHERN Luke,Independent,KANG Kyoung Hee (Christina),"The Liberal Party of Australia, New South Wales Division",16507
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,2,progressive,AHERN Luke,Independent,VOLTZ Lynda,Australian Labor Party (NSW Branch),22809
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,2,transfer,AHERN Luke,Independent,CASTLE Janet,The Greens NSW,204
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,2,transfer,AHERN Luke,Independent,KANG Kyoung Hee (Christina),"The Liberal Party of Australia, New South Wales Division",267
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,2,transfer,AHERN Luke,Independent,VOLTZ Lynda,Australian Labor Party (NSW Branch),248
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,3,final,CASTLE Janet,The Greens NSW,KANG Kyoung Hee (Christina),"The Liberal Party of Australia, New South Wales Division",16876
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,3,final,CASTLE Janet,The Greens NSW,VOLTZ Lynda,Australian Labor Party (NSW Branch),24419
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,3,transfer,CASTLE Janet,The Greens NSW,KANG Kyoung Hee (Christina),"The Liberal Party of Australia, New South Wales Division",369
Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),55340,44842,2875,47717,86.23,22422,3,transfer,CASTLE Janet,The Greens NSW,VOLTZ Lynda,Australian Labor Party (NSW Branch),1610
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,0,first,,,BLASONATO Cathy,Animal Justice Party,1256
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,0,first,,,FRANKLIN Ben,National Party of Australia - NSW,18550
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,0,first,,,McDERMOTT Lisa,Sustainable Australia (NSW),1119
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,0,first,,,PUGH Asren,Country Labor Party,12457
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,0,first,,,SMITH Tamara,The Greens NSW,15895
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,0,first,,,WRIGHT James,Keep Sydney Open Party,850
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,progressive,WRIGHT James,Keep Sydney Open Party,BLASONATO Cathy,Animal Justice Party,1383
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,progressive,WRIGHT James,Keep Sydney Open Party,FRANKLIN Ben,National Party of Australia - NSW,18589
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,progressive,WRIGHT James,Keep Sydney Open Party,McDERMOTT Lisa,Sustainable Australia (NSW),1177
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,progressive,WRIGHT James,Keep Sydney Open Party,PUGH Asren,Country Labor Party,12525
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,progressive,WRIGHT James,Keep Sydney Open Party,SMITH Tamara,The Greens NSW,16118
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,transfer,WRIGHT James,Keep Sydney Open Party,BLASONATO Cathy,Animal Justice Party,127
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,transfer,WRIGHT James,Keep Sydney Open Party,FRANKLIN Ben,National Party of Australia - NSW,39
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,transfer,WRIGHT James,Keep Sydney Open Party,McDERMOTT Lisa,Sustainable Australia (NSW),58
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,transfer,WRIGHT James,Keep Sydney Open Party,PUGH Asren,Country Labor Party,68
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,1,transfer,WRIGHT James,Keep Sydney Open Party,SMITH Tamara,The Greens NSW,223
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,2,progressive,McDERMOTT Lisa,Sustainable Australia (NSW),BLASONATO Cathy,Animal Justice Party,1565
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,2,progressive,McDERMOTT Lisa,Sustainable Australia (NSW),FRANKLIN Ben,National Party of Australia - NSW,18696
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,2,progressive,McDERMOTT Lisa,Sustainable Australia (NSW),PUGH Asren,Country Labor Party,12622
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,2,progressive,McDERMOTT Lisa,Sustainable Australia (NSW),SMITH Tamara,The Greens NSW,16353
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,2,transfer,McDERMOTT Lisa,Sustainable Australia (NSW),BLASONATO Cathy,Animal Justice Party,182
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,2,transfer,McDERMOTT Lisa,Sustainable Australia (NSW),FRANKLIN Ben,National Party of Australia - NSW,107
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,2,transfer,McDERMOTT Lisa,Sustainable Australia (NSW),PUGH Asren,Country Labor Party,97
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,2,transfer,McDERMOTT Lisa,Sustainable Australia (NSW),SMITH Tamara,The Greens NSW,235
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,3,progressive,BLASONATO Cathy,Animal Justice Party,FRANKLIN Ben,National Party of Australia - NSW,18811
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,3,progressive,BLASONATO Cathy,Animal Justice Party,PUGH Asren,Country Labor Party,12942
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,3,progressive,BLASONATO Cathy,Animal Justice Party,SMITH Tamara,The Greens NSW,16880
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,3,transfer,BLASONATO Cathy,Animal Justice Party,FRANKLIN Ben,National Party of Australia - NSW,115
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,3,transfer,BLASONATO Cathy,Animal Justice Party,PUGH Asren,Country Labor Party,320
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,3,transfer,BLASONATO Cathy,Animal Justice Party,SMITH Tamara,The Greens NSW,527
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,4,final,PUGH Asren,Country Labor Party,FRANKLIN Ben,National Party of Australia - NSW,19824
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,4,final,PUGH Asren,Country Labor Party,SMITH Tamara,The Greens NSW,24645
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,4,transfer,PUGH Asren,Country Labor Party,FRANKLIN Ben,National Party of Australia - NSW,1013
Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG1901/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,59329,50127,1359,51486,86.78,25064,4,transfer,PUGH Asren,Country Labor Party,SMITH Tamara,The Greens NSW,7765
